PyIndex,Year,University,State,List_Tuition,Rank,Private,CPI,Southern,Lag_APGAF,Lag_AFSLAF,Lag_Applicants,MPGA,MUFSLA,Key
0,2016,Princeton University,NJ,45320.00,1,1,240,0,4282,5417,29303,5820,3500,Princeton University 2016
1,2016,Harvard University,MA,47074.00,2,1,240,0,4821,4858,39041,5820,3500,Harvard University 2016
2,2016,Yale University,CT,49480.00,3,1,240,0,4655,5285,31445,5820,3500,Yale University 2016
3,2016,Columbia University in the City of New York,NY,55056.00,4,1,240,0,4649,5698,37009,5820,3500,Columbia University in the City of New York 2016
4,2016,University of Chicago,IL,53649.00,4,1,240,0,4731,5236,31484,5820,3500,University of Chicago 2016
5,2016,Stanford University,CA,47940.00,4,1,240,0,4645,5270,43997,5820,3500,Stanford University 2016
6,2016,Massachusetts Institute of Technology,MA,48452.00,7,1,240,0,4544,6319,19020,5820,3500,Massachusetts Institute of Technology 2016
7,2016,University of Pennsylvania,PA,51464.00,9,1,240,0,4657,5082,38918,5820,3500,University of Pennsylvania 2016
8,2016,Duke University,NC,51265.00,8,1,240,1,4390,4981,31671,5820,3500,Duke University 2016
9,2016,California Institute of Technology,CA,47577.00,10,1,240,0,4106,4861,6855,5820,3500,California Institute of Technology 2016
10,2016,Dartmouth College,NH,51438.00,12,1,240,0,4490,5243,20675,5820,3500,Dartmouth College 2016
11,2016,Johns Hopkins University,MD,50410.00,10,1,240,1,4535,4302,27852,5820,3500,Johns Hopkins University 2016
12,2016,Northwestern University,IL,50855.00,12,1,240,0,4345,4753,35100,5820,3500,Northwestern University 2016
13,2016,Brown University,RI,51366.00,14,1,240,0,4459,5401,32390,5820,3500,Brown University 2016
14,2016,Cornell University,NY,50953.00,15,1,240,0,4469,4697,44965,5820,3500,Cornell University 2016
15,2016,Washington University in St Louis,MO,49770.00,15,1,240,0,4163,5513,29197,5820,3500,Washington University in St Louis 2016
16,2016,Vanderbilt University,TN,45610.00,15,1,240,0,4471,4899,32442,5820,3500,Vanderbilt University 2016
17,2016,Rice University,TX,43918.00,18,1,240,0,4353,4162,18236,5820,3500,Rice University 2016
18,2016,University of Notre Dame,IN,49685.00,18,1,240,0,4562,4574,19505,5820,3500,University of Notre Dame 2016
19,2016,Emory University,GA,47954.00,21,1,240,1,4683,4947,19924,5820,3500,Emory University 2016
20,2016,University of California-Berkeley,CA,13509.00,20,0,240,0,4753,4995,82561,5820,3500,University of California-Berkeley 2016
21,2016,Georgetown University,DC,50547.00,21,1,240,0,4434,3545,19997,5820,3500,Georgetown University 2016
